"","PLANT_ID","days","Survey.event","Treat","EPICHL_TRT","COLLET_TRT","RHIZOC_TRT","NMDS1","NMDS2"
"201","113",42,13,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"202","113",6,3,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"203","114",1,1,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"204","114",11,4,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",0.0210648815097466,0.00789205998749672
"205","114",14,5,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",0.0877998387208113,0.0428099081469392
"206","114",18,6,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",0.0210648815097466,0.00789205998749672
"207","114",21,7,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"208","114",25,8,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",0.0479734484794224,0.0254875020883484
"209","114",28,9,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",0.0752080184811862,0.0389164851477168
"210","114",32,10,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",0.128024252049951,0.058944820860736
"211","114",35,11,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",0.175615469807112,0.0758655600012435
"212","114",39,12,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"213","114",4,2,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"214","114",6,3,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"215","115",1,1,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"216","115",11,4,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"217","115",14,5,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",0.0752080184811862,0.0389164851477168
"218","115",18,6,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"219","115",21,7,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"220","115",4,2,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"221","115",6,3,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"222","116",1,1,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"223","116",11,4,"Epi (+)","inoculated","mock","mock",-0.000245463414346738,-0.0242197468050863
"224","116",14,5,"Epi (+)","inoculated","mock","mock",0.00303721021350397,-0.00735237056587665
"225","116",18,6,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"226","116",21,7,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"227","116",25,8,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"228","116",28,9,"Epi (+)","inoculated","mock","mock",-0.0259261740176775,0.0139793846567709
"229","116",32,10,"Epi (+)","inoculated","mock","mock",-0.022944192487698,-0.00441754369433887
"230","116",35,11,"Epi (+)","inoculated","mock","mock",-0.0200570164189378,0.00116432478277615
"231","116",39,12,"Epi (+)","inoculated","mock","mock",-0.0537046751369019,0.0146920559537011
"232","116",4,2,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"233","116",42,13,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"234","116",6,3,"Epi (+)","inoculated","mock","mock",-0.00744013478941865,-0.0160681804564693
"235","117",1,1,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"236","117",11,4,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",0.00753339326346803,-0.00306144868808122
"237","117",14,5,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",0.10160367692514,0.0493412065271549
"238","117",18,6,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",0.128024252049951,0.058944820860736
"239","117",21,7,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"240","117",25,8,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"241","117",28,9,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",0.00753339326346803,-0.00306144868808122
"242","117",32,10,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",0.00753339326346803,-0.00306144868808122
"243","117",35,11,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",0.0210648815097466,0.00789205998749672
"244","117",4,2,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"245","117",6,3,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941865,-0.0160681804564693
"246","118",1,1,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.00744013478941864,-0.0160681804564693
"247","118",11,4,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.0059618031243502,-0.035632674502208
"248","118",14,5,"Epi (+) Col (+) Rhiz (+)","inoculated","inoculated","inoculated",-0.0059618031243502,-0.035632674502208
